Wall time,Step,Value
1734419340.061057,1201032,140.0
1734419341.0313416,1202628,84.0
1734419341.5565732,1203500,108.0
1734419345.8678265,1207540,64.0
1734419347.0911899,1209476,40.0
1734419347.4664776,1210016,120.0
1734419347.7515566,1210436,184.0
1734419358.3678453,1218404,72.0
1734419358.4590678,1218560,100.0
1734419363.2321448,1223460,156.0
1734419365.6659727,1227568,40.0
1734419397.062453,1230448,48.0
1734419397.2464573,1230752,76.0
1734419397.5944886,1231312,88.0
1734419403.5086474,1237864,60.0
1734419404.498255,1239604,116.0
1734419405.1210687,1240660,92.0
1734419410.627649,1246484,48.0
1734419414.2292378,1252620,176.0
1734419419.258204,1257828,80.0
1734419424.5657344,1262492,199.0
1734419425.8160722,1264232,144.0
1734419425.877585,1264316,199.0
1734419427.2158427,1266764,68.0
1734419427.7443018,1267644,156.0
1734419428.5001879,1268812,52.0
1734419441.3031988,1281316,88.0
1734419442.710397,1283908,92.0
1734419449.316686,1291868,52.0
1734419449.4833324,1292172,76.0
1734419449.5082521,1292220,72.0
1734419454.3714664,1298120,104.0
1734419455.9661546,1300976,60.0
1734419461.4391086,1307104,199.0
1734419468.3970041,1315792,56.0
1734419473.144416,1320412,199.0
1734419476.1649942,1325500,184.0
1734419477.029244,1326936,100.0
1734419482.953468,1333716,72.0
1734419489.3008013,1341112,56.0
1734419492.8417635,1343728,199.0
1734419500.7665834,1354060,199.0
1734419501.1054053,1354672,199.0
1734419501.373098,1355112,56.0
1734419507.7048004,1362580,160.0
1734419509.10105,1364980,156.0
1734419516.533652,1373656,160.0
1734419521.1390238,1378296,188.0
1734419535.2772148,1396008,199.0
1734419540.4606495,1401148,100.0
1734419540.4905071,1401200,156.0
1734419547.1328745,1409120,199.0
1734419547.6705618,1410056,128.0
1734419549.2934437,1412900,199.0
1734419551.0417497,1415832,199.0
1734419551.3525927,1416344,108.0
1734419563.969802,1430932,108.0
1734419568.1829162,1434684,128.0
1734419568.6451533,1435368,96.0
1734419590.8937626,1462484,60.0
1734419592.6561658,1465384,60.0
1734419595.4351878,1466824,40.0
1734419597.483217,1470448,68.0
1734419597.9595685,1471244,199.0
1734419599.154531,1473096,72.0
1734419599.7255633,1473940,199.0
1734419602.8065827,1475952,144.0
1734419604.9672456,1479508,199.0
1734419612.3202212,1488848,88.0
1734419612.5626612,1489268,199.0
1734419617.1917675,1493928,60.0
1734419619.6184535,1497972,52.0
1734419624.104644,1502456,28.0
1734419632.8475487,1514076,184.0
1734419646.4029503,1530684,172.0
1734419646.99149,1531672,112.0
1734419650.0515614,1533684,124.0
1734419656.191082,1540348,140.0
1734419657.0010958,1541804,84.0
1734419666.5679743,1554344,32.0
1734419666.7101636,1554580,184.0
1734419684.4124436,1574412,104.0
1734419684.737869,1574988,168.0
1734419684.804824,1575108,168.0
1734419688.6041381,1580888,148.0
1734419691.260276,1582376,199.0
1734419691.5502167,1582904,44.0
1734419691.9997087,1583708,168.0
1734419694.9358163,1588584,192.0
1734419697.741523,1589708,104.0
1734419699.7674565,1593168,100.0
1734419705.8043106,1599700,108.0
1734419707.851103,1602720,80.0
1734419714.5934858,1609572,48.0
1734419716.3602579,1612888,199.0
1734419719.7601094,1615360,199.0
1734419721.3082263,1617484,199.0
1734419726.3269672,1622404,164.0
1734419737.4533153,1637748,76.0
1734419772.3248718,1644412,40.0
1734419782.800574,1655700,84.0
1734419783.6861768,1657288,76.0
1734419785.1285405,1659780,80.0
1734419792.057517,1668340,108.0
