mean_score,total_steps,std_score,max_score,min_score
88.0,1488848,0.0,88.0,88.0
199.0,1489268,0.0,199.0,199.0
60.0,1493928,0.0,60.0,60.0
52.0,1497972,0.0,52.0,52.0
28.0,1502456,0.0,28.0,28.0
184.0,1514076,0.0,184.0,184.0
172.0,1530684,0.0,172.0,172.0
112.0,1531672,0.0,112.0,112.0
124.0,1533684,0.0,124.0,124.0
140.0,1540348,0.0,140.0,140.0
84.0,1541804,0.0,84.0,84.0
32.0,1554344,0.0,32.0,32.0
184.0,1554580,0.0,184.0,184.0
104.0,1574412,0.0,104.0,104.0
168.0,1574988,0.0,168.0,168.0
168.0,1575108,0.0,168.0,168.0
148.0,1580888,0.0,148.0,148.0
199.0,1582376,0.0,199.0,199.0
44.0,1582904,0.0,44.0,44.0
168.0,1583708,0.0,168.0,168.0
192.0,1588584,0.0,192.0,192.0
104.0,1589708,0.0,104.0,104.0
100.0,1593168,0.0,100.0,100.0
108.0,1599700,0.0,108.0,108.0
80.0,1602720,0.0,80.0,80.0
48.0,1609572,0.0,48.0,48.0
199.0,1612888,0.0,199.0,199.0
199.0,1615360,0.0,199.0,199.0
199.0,1617484,0.0,199.0,199.0
164.0,1622404,0.0,164.0,164.0
76.0,1637748,0.0,76.0,76.0
40.0,1644412,0.0,40.0,40.0
84.0,1655700,0.0,84.0,84.0
76.0,1657288,0.0,76.0,76.0
80.0,1659780,0.0,80.0,80.0
108.0,1668340,0.0,108.0,108.0
112.0,1670324,0.0,112.0,112.0
84.0,1675292,0.0,84.0,84.0
100.0,1677944,0.0,100.0,100.0
84.0,1679476,0.0,84.0,84.0
76.0,1692436,0.0,76.0,76.0
199.0,1711644,0.0,199.0,199.0
112.0,1717032,0.0,112.0,112.0
199.0,1721296,0.0,199.0,199.0
164.0,1726108,0.0,164.0,164.0
196.0,1732828,0.0,196.0,196.0
60.0,1739740,0.0,60.0,60.0
76.0,1739980,0.0,76.0,76.0
96.0,1741184,0.0,96.0,96.0
48.0,1744940,0.0,48.0,48.0
76.0,1748324,0.0,76.0,76.0
72.0,1758072,0.0,72.0,72.0
128.0,1779020,0.0,128.0,128.0
128.0,1788552,0.0,128.0,128.0
180.0,1795436,0.0,180.0,180.0
116.0,1800176,0.0,116.0,116.0
199.0,1803208,0.0,199.0,199.0
199.0,1804400,0.0,199.0,199.0
56.0,1821968,0.0,56.0,56.0
144.0,1826616,0.0,144.0,144.0
124.0,1830112,0.0,124.0,124.0
132.0,1834968,0.0,132.0,132.0
199.0,1845876,0.0,199.0,199.0
148.0,1851832,0.0,148.0,148.0
199.0,1864724,0.0,199.0,199.0
199.0,1876036,0.0,199.0,199.0
199.0,1880132,0.0,199.0,199.0
199.0,1881984,0.0,199.0,199.0
199.0,1883448,0.0,199.0,199.0
172.0,1895500,0.0,172.0,172.0
196.0,1904736,0.0,196.0,196.0
128.0,1922632,0.0,128.0,128.0
199.0,1924960,0.0,199.0,199.0
199.0,1937380,0.0,199.0,199.0
140.0,1951296,0.0,140.0,140.0
48.0,1965304,0.0,48.0,48.0
199.0,1971484,0.0,199.0,199.0
172.0,1977516,0.0,172.0,172.0
56.0,1982392,0.0,56.0,56.0
132.0,1989628,0.0,132.0,132.0
148.0,2006600,0.0,148.0,148.0
48.0,2009392,0.0,48.0,48.0
184.0,2012420,0.0,184.0,184.0
199.0,2013712,0.0,199.0,199.0
199.0,2016252,0.0,199.0,199.0
199.0,2026108,0.0,199.0,199.0
